Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDW58,1722.6190371681414,OUT049
FDW14,1461.8235238805967,OUT017
NCN55,543.3777234693874,OUT010
FDQ58,2103.0163661538454,OUT017
FDY38,6436.9737922330105,OUT027
FDH56,1754.5845724770638,OUT046
FDL48,727.7417422818792,OUT018
FDC48,2871.430423008849,OUT027
FDN33,1703.3002876190474,OUT045
FDA36,2103.0163661538454,OUT017
FDT44,1754.5845724770638,OUT017
FDQ56,1461.8235238805967,OUT045
NCC54,543.3777234693874,OUT019
FDU11,1754.5845724770638,OUT049
DRL59,727.7417422818792,OUT013
FDM24,2323.3421358778623,OUT049
FDI57,3568.419410227274,OUT045
DRC12,2376.0195569767448,OUT018
NCM42,2871.430423008849,OUT027
FDA46,543.3777234693874,OUT010
FDA31,3000.566677669902,OUT013
NCJ31,3748.941813861386,OUT035
FDG52,784.5787200000003,OUT046
NCL19,338.7673625,OUT019
FDS10,2712.705734210526,OUT035
FDX22,543.3777234693874,OUT010
NCF19,784.5787200000003,OUT035
NCE06,1535.8561339622636,OUT046
DRC27,3131.7652135593216,OUT046
FDE21,2213.296274468086,OUT035
NCR42,97.2986344827586,OUT019
FDX51,2376.0195569767448,OUT018
NCR06,507.04640366972484,OUT018
FDU31,5512.3308148148135,OUT027
FDU59,3788.631916546761,OUT017
FDR03,5512.3308148148135,OUT027
FDS49,2624.6353126213585,OUT027
FDD48,266.5025035532993,OUT010
NCF18,3568.419410227274,OUT017
NCD43,1383.633417931035,OUT027
NCD54,2213.296274468086,OUT018
FDY19,266.5025035532993,OUT010
NCY54,3788.631916546761,OUT017
NCL19,2376.0195569767448,OUT018
FDP23,543.3777234693874,OUT010
FDC26,1383.633417931035,OUT013
FDR14,171.59145555555554,OUT010
NCS41,2103.0163661538454,OUT035
FDF41,3748.941813861386,OUT035
FDU34,2460.6107676470583,OUT046
DRH11,914.1823356725149,OUT046
FDM03,1661.3029603603604,OUT013
FDS31,2712.705734210526,OUT017
