Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDW58,1764.0,OUT049
FDW14,1596.0,OUT017
NCN55,2072.0,OUT010
FDQ58,2060.0,OUT017
FDY38,5296.0,OUT027
FDH56,1732.0,OUT046
FDL48,696.0,OUT018
FDC48,2884.0,OUT027
FDN33,1504.0,OUT045
FDA36,2348.0,OUT017
FDT44,1820.0,OUT017
FDQ56,1424.0,OUT045
NCC54,2132.0,OUT019
FDU11,1876.0,OUT049
DRL59,952.0,OUT013
FDM24,2544.0,OUT049
FDI57,3540.0,OUT045
DRC12,2580.0,OUT018
NCM42,3056.0,OUT027
FDA46,1768.0,OUT010
FDA31,2652.0,OUT013
NCJ31,4008.0,OUT035
FDG52,812.0,OUT046
NCL19,564.0,OUT019
FDS10,2784.0,OUT035
FDX22,1928.0,OUT010
NCF19,964.0,OUT035
NCE06,1628.0,OUT046
DRC27,3128.0,OUT046
FDE21,2328.0,OUT035
NCR42,-1072.0,OUT019
FDX51,2604.0,OUT018
NCR06,592.0,OUT018
FDU31,5192.0,OUT027
FDU59,3440.0,OUT017
FDR03,5064.0,OUT027
FDS49,2852.0,OUT027
FDD48,-84.0,OUT010
NCF18,3640.0,OUT017
NCD43,2632.0,OUT027
NCD54,2180.0,OUT018
FDY19,392.0,OUT010
NCY54,3480.0,OUT017
NCL19,2176.0,OUT018
FDP23,1944.0,OUT010
FDC26,1352.0,OUT013
FDR14,-908.0,OUT010
NCS41,2308.0,OUT035
FDF41,4120.0,OUT035
FDU34,2216.0,OUT046
DRH11,916.0,OUT046
FDM03,1632.0,OUT013
FDS31,2720.0,OUT017
FDJ20,1884.0,OUT017
FDV44,4136.0,OUT027
FDG02,2372.0,OUT049
FDA09,3516.0,OUT013
FDT04,784.0,OUT013
FDL58,2324.0,OUT019
FDE52,2740.0,OUT045
FDW12,2092.0,OUT035
FDL51,3024.0,OUT017
NCY42,3752.0,OUT027
FDR07,1308.0,OUT017
FDN40,2356.0,OUT045
FDB35,2964.0,OUT027
FDA22,3448.0,OUT017
NCL06,3208.0,OUT046
FDI35,3524.0,OUT013
NCW42,2860.0,OUT045
NCX06,2744.0,OUT049
FDC37,3084.0,OUT027
FDZ14,2068.0,OUT018
DRG49,4088.0,OUT049
NCG06,3932.0,OUT045
DRC36,3396.0,OUT045
FDV21,-8.0,OUT019
FDB53,3200.0,OUT046
DRP47,2236.0,OUT019
FDA14,1592.0,OUT013
DRC24,3440.0,OUT035
FDW21,1424.0,OUT018
NCH29,1516.0,OUT046
FDU58,2764.0,OUT013
FDY27,2704.0,OUT017
FDV56,1460.0,OUT035
FDT59,3832.0,OUT046
FDB23,3808.0,OUT046
FDR49,744.0,OUT045
FDB03,2144.0,OUT010
FDN39,2492.0,OUT045
FDX02,5192.0,OUT027
FDQ16,3536.0,OUT027
FDU35,1384.0,OUT018
NCT29,1784.0,OUT013
FDZ27,804.0,OUT046
FDN57,2464.0,OUT017
FDA03,2224.0,OUT018
FDZ36,3460.0,OUT045
NCU05,1104.0,OUT013
FDT39,2292.0,OUT018
FDK60,1660.0,OUT017
FDZ25,2664.0,OUT017
FDG12,2176.0,OUT046
DRB01,496.0,OUT019
NCC43,4528.0,OUT027
FDX13,2212.0,OUT019
FDM22,1004.0,OUT049
FDJ03,2276.0,OUT027
FDU14,3808.0,OUT018
FDB33,728.0,OUT010
FDP27,2712.0,OUT046
FDO38,-740.0,OUT010
FDE28,4432.0,OUT027
FDO27,1708.0,OUT035
DRL23,3092.0,OUT027
FDS28,892.0,OUT046
FDX24,1584.0,OUT013
FDZ02,1356.0,OUT035
FDL46,1288.0,OUT045
FDS60,4056.0,OUT027
NCO06,796.0,OUT017
FDO16,1636.0,OUT035
FDC60,1260.0,OUT049
FDA48,3580.0,OUT018
FDZ36,4936.0,OUT027
FDK27,1704.0,OUT045
FDW23,600.0,OUT018
FDM14,1960.0,OUT018
FDM14,2164.0,OUT013
FDW60,3292.0,OUT018
FDE21,2228.0,OUT013
NCM42,1788.0,OUT035
FDY59,-636.0,OUT010
DRI49,1564.0,OUT049
FDT28,684.0,OUT019
FDQ22,600.0,OUT018
FDR60,1148.0,OUT049
FDC50,-224.0,OUT019
FDV24,1992.0,OUT013
DRF48,564.0,OUT010
FDQ47,748.0,OUT046
DRN36,1692.0,OUT049
NCY06,2384.0,OUT035
FDE52,2936.0,OUT035
NCB54,1712.0,OUT045
NCF31,2100.0,OUT035
FDJ08,4128.0,OUT027
NCC07,1732.0,OUT017
NCD19,2212.0,OUT027
FDL46,1468.0,OUT049
FDM20,3884.0,OUT045
NCI06,1664.0,OUT010
DRM11,4208.0,OUT035
NCH07,2288.0,OUT018
FDS23,1856.0,OUT013
FDO49,680.0,OUT018
FDS35,1060.0,OUT049
DRK39,1392.0,OUT045
DRI39,1044.0,OUT049
FDV04,2132.0,OUT017
NCN14,2316.0,OUT035
FDH08,3908.0,OUT013
FDS20,2640.0,OUT046
FDV40,1124.0,OUT049
FDZ48,-124.0,OUT010
FDS24,2564.0,OUT027
FDK44,2696.0,OUT049
FDS48,1904.0,OUT045
FDK26,1736.0,OUT010
FDD23,3484.0,OUT045
NCH54,2132.0,OUT017
NCP14,272.0,OUT010
FDM60,-1028.0,OUT010
FDV24,2036.0,OUT017
FDH08,3672.0,OUT018
FDS12,3212.0,OUT027
FDR39,4880.0,OUT027
FDP12,2180.0,OUT027
DRF60,5288.0,OUT027
FDC09,1412.0,OUT035
FDF50,3368.0,OUT018
FDG28,3248.0,OUT035
NCE19,972.0,OUT017
NCM53,-164.0,OUT010
NCN18,2208.0,OUT049
FDF32,2436.0,OUT035
FDF11,3964.0,OUT013
DRI59,3904.0,OUT049
NCG54,3496.0,OUT035
